duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_serror_rate
22.41,icmp,smtp,SH,1412,2213,10,2,0.0685,0.4809,74,33,0.3432,0.0729
15.96,udp,dns,SF,1228,1969,9,1,0.0712,0.4279,190,177,0.4921,0.074
13.94,icmp,ftp,RSTO,545,2966,15,4,0.0431,0.4937,206,147,0.3123,0.0426
27.33,icmp,dns,RSTO,1180,1047,10,2,0.0483,0.9856,26,179,0.6129,0.0121
25.66,udp,ssh,SH,923,227,7,4,0.0875,0.5104,234,99,0.5859,0.0625
21.87,icmp,ftp,RSTO,562,743,11,1,0.0885,0.6272,100,194,0.0161,0.0594
18.92,icmp,pop3,RSTO,1421,1092,14,4,0.0363,0.855,231,61,0.3929,0.0231
14.5,icmp,http,SH,1548,1860,14,1,0.0399,0.2409,192,59,0.5131,0.0667
0.21,icmp,pop3,SF,46,9,217,136,0.8155,0.3168,248,170,0.1711,0.9487
0.68,udp,http,S0,0,49,462,19,0.8347,0.2823,74,210,0.5635,0.9146
1.04,icmp,ssh,REJ,16,30,446,4,0.7196,0.0054,247,177,0.9113,0.7598
0.06,tcp,http,SH,56,22,401,29,0.9126,0.8392,177,4,0.781,0.786
0.61,udp,ftp,S0,66,44,378,100,0.7144,0.6047,199,100,0.8813,0.8752
2.39,udp,http,S0,152,57,155,13,0.3823,0.6164,232,128,0.0796,0.4942
3.49,icmp,pop3,SH,33,20,166,17,0.6365,0.6555,236,240,0.565,0.4696
1.44,udp,smtp,REJ,136,2,134,9,0.4566,0.7021,54,218,0.0668,0.5613
99.69,icmp,imap,RSTO,3649,347,1,2,0.0916,0.3441,118,222,0.0538,0.242
68.24,icmp,imap,SF,1341,237,9,1,0.275,0.9184,114,129,0.4637,0.1507
97.05,udp,pop3,SH,166,314,4,1,0.0086,0.3019,79,199,0.5395,0.1253
50.83,icmp,pop3,S0,167,515,4,1,0.1598,0.7988,161,211,0.4434,0.1431
